Date,Close/Last,Volume,Open,High,Low
05/30/2025,589.39,90601240,588.93,591.1299,583.235
05/29/2025,590.05,70073760,593.06,593.20,586.07
05/28/2025,587.73,68445510,591.56,592.7688,586.985
05/27/2025,591.15,72588480,586.07,591.31,578.43
05/23/2025,579.11,76029050,575.98,581.8101,575.60
05/22/2025,583.09,70860420,582.66,586.62,581.405
05/21/2025,582.86,95197660,588.44,592.58,581.82
05/20/2025,592.85,60614490,593.09,594.05,589.60
05/19/2025,594.85,68168510,588.10,595.54,588.10
05/16/2025,594.20,76052100,591.25,594.50,589.28
05/15/2025,590.46,71268150,585.56,590.97,585.0969
05/14/2025,587.59,66283530,587.81,588.98,585.535
05/13/2025,586.84,67947230,583.41,589.08,582.84
05/12/2025,582.99,78993570,581.47,583.00,577.04
05/09/2025,564.34,37603430,566.48,567.50,562.7637
05/08/2025,565.06,65130790,565.24,570.31,561.70
05/07/2025,561.15,55733230,560.15,563.82,556.04
05/06/2025,558.80,48264710,557.93,563.3476,556.96
05/05/2025,563.51,38659220,562.57,566.65,561.70
05/02/2025,566.76,60717270,564.73,568.38,562.38
05/01/2025,558.47,63186150,560.37,564.0699,557.86
04/30/2025,554.54,93101460,547.57,556.52,541.52
04/29/2025,554.32,47775120,548.91,555.45,548.55
04/28/2025,550.85,47613760,551.39,553.55,545.02
04/25/2025,550.64,61119590,546.65,551.05,543.69
04/24/2025,546.69,64150420,536.715,547.43,535.4504
04/23/2025,535.42,90590660,540.43,545.43,533.88
04/22/2025,527.25,75948120,520.14,529.305,519.1925
04/21/2025,513.88,69368130,521.16,521.70,508.46
04/17/2025,526.41,79868080,527.64,531.165,523.91
04/16/2025,525.66,83484810,531.68,537.8854,520.29
04/15/2025,537.61,56892870,539.675,543.23,536.81
04/14/2025,539.12,68033990,544.05,544.28,533.86
04/11/2025,533.94,97866330,523.01,536.43,520.07
04/10/2025,524.58,162331200,532.17,533.495,509.32
04/09/2025,548.62,241867300,493.44,548.62,493.05
04/08/2025,496.48,165816600,521.86,524.98,489.16
04/07/2025,504.38,256611400,489.19,523.17,481.80
04/04/2025,505.28,217965100,523.67,525.87,505.06
04/03/2025,536.70,125986000,545.11,547.97,536.70
04/02/2025,564.52,76014540,555.05,567.42,554.81
04/01/2025,560.97,54609640,557.45,562.94,553.68
03/31/2025,559.39,95328210,549.83,560.7112,546.87
03/28/2025,555.66,71662650,565.53,566.2675,555.07
03/27/2025,567.08,42164250,567.18,570.90,564.94
03/26/2025,568.59,52228900,575.19,576.33,567.19
03/25/2025,575.46,38355740,575.30,576.41,573.69
03/24/2025,574.08,58766800,570.80,575.15,570.20
03/21/2025,563.98,83762960,559.28,564.89,558.03
03/20/2025,565.49,62958200,563.33,570.57,562.6012
03/19/2025,567.13,66555990,562.83,570.95,561.63
03/18/2025,561.02,66041420,564.80,565.02,559.06
03/17/2025,567.15,49008710,562.79,569.71,562.35
03/14/2025,562.81,62660320,556.11,563.83,551.4917
03/13/2025,551.42,74079410,558.49,559.105,549.68
03/12/2025,558.87,69588170,562.17,563.11,553.69
03/11/2025,555.92,88102110,559.40,564.02,552.02
03/10/2025,560.58,99326620,567.59,569.54,555.59
